Date,Team 1,Team 2,Winner,Result,Venue
2014-04-02,Haryana,Punjab,Punjab,Punjab won by 8 wickets,Delhi
2014-04-03,Haryana,Services,Haryana,Haryana won by 7 wickets,Delhi
2014-04-03,Jammu & Kashmir,Punjab,Punjab,Punjab won by 8 wickets,Delhi
2014-04-03,Delhi,Himachal Pradesh,Delhi,Delhi won by 7 wickets,Delhi
2014-04-05,Jammu & Kashmir,Services,Services,Services won by 6 wickets,Delhi
2014-04-05,Delhi,Punjab,Punjab,Punjab won by 7 wickets,Delhi
2014-04-05,Haryana,Himachal Pradesh,Haryana,Haryana won by 6 wickets,Delhi
2014-04-06,Himachal Pradesh,Jammu & Kashmir,Himachal Pradesh,Himachal Pradesh won by 7 wickets,Delhi
2014-04-06,Punjab,Services,Punjab,Punjab won by 8 wickets,Delhi
2014-04-06,Delhi,Haryana,Delhi,Delhi won by 7 wickets,Delhi
2014-04-01,Baroda,Saurashtra,Baroda,Baroda won by 6 wickets,Pune
2014-04-01,Gujarat,Maharashtra,Gujarat,Gujarat won by 7 wickets,Pune
2014-04-02,Baroda,Gujarat,Baroda,Baroda won by 5 wickets,Pune
2014-04-02,Maharashtra,Saurashtra,Maharashtra,Maharashtra won by 6 wickets,Pune
2014-04-03,Baroda,Maharashtra,Baroda,Baroda won by 7 wickets,Pune
2014-04-03,Gujarat,Saurashtra,Gujarat,Gujarat won by 6 wickets,Pune
2014-04-01,Madhya Pradesh,Vidarbha,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Nagpur
2014-04-01,Railways,Rajasthan,Railways,Railways won by 6 wickets,Nagpur
2014-04-02,Madhya Pradesh,Railways,Madhya Pradesh,Madhya Pradesh won by 5 wickets,Nagpur
2014-04-02,Rajasthan,Vidarbha,Vidarbha,Vidarbha won by 6 wickets,Nagpur
2014-04-03,Madhya Pradesh,Rajasthan,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Nagpur
2014-04-03,Railways,Vidarbha,Railways,Railways won by 6 wickets,Nagpur
2014-04-08,Uttar Pradesh,Bengal,Uttar Pradesh,Uttar Pradesh won by 7 wickets,Mumbai
2014-04-08,Baroda,Gujarat,Baroda,Baroda won by 6 wickets,Mumbai
2014-04-08,Kerala,Tamil Nadu,Kerala,Kerala won by 5 wickets,Mumbai
2014-04-08,Railways,Vidarbha,Railways,Railways won by 7 wickets,Mumbai
2014-04-08,Haryana,Services,Haryana,Haryana won by 6 wickets,Mumbai
2014-04-09,Uttar Pradesh,Gujarat,Uttar Pradesh,Uttar Pradesh won by 7 wickets,Mumbai
2014-04-09,Baroda,Bengal,Baroda,Baroda won by 6 wickets,Mumbai
2014-04-09,Kerala,Vidarbha,Kerala,Kerala won by 5 wickets,Mumbai
2014-04-09,Railways,Tamil Nadu,Railways,Railways won by 7 wickets,Mumbai
2014-04-09,Haryana,Punjab,Punjab,Punjab won by 6 wickets,Mumbai
2014-04-10,Uttar Pradesh,Baroda,Uttar Pradesh,Uttar Pradesh won by 7 wickets,Mumbai
2014-04-10,Gujarat,Bengal,Gujarat,Gujarat won by 6 wickets,Mumbai
2014-04-10,Kerala,Railways,Kerala,Kerala won by 5 wickets,Mumbai
2014-04-10,Vidarbha,Tamil Nadu,Vidarbha,Vidarbha won by 7 wickets,Mumbai
2014-04-10,Services,Punjab,Punjab,Punjab won by 6 wickets,Mumbai
2014-04-12,Uttar Pradesh,Kerala,Uttar Pradesh,Uttar Pradesh won by 5 wickets,Mumbai
2014-04-12,Baroda,Railways,Baroda,Baroda won by 6 wickets,Mumbai
2014-04-12,Punjab,Gujarat,Punjab,Punjab won by 5 wickets,Mumbai
2014-04-13,Uttar Pradesh,Baroda,Uttar Pradesh,Uttar Pradesh won by 6 wickets,Mumbai
2014-04-13,Kerala,Punjab,Kerala,Kerala won by 5 wickets,Mumbai
2014-04-13,Gujarat,Railways,Gujarat,Gujarat won by 6 wickets,Mumbai
2014-04-14,Uttar Pradesh,Punjab,Uttar Pradesh,Uttar Pradesh won by 5 wickets,Mumbai
2014-04-14,Baroda,Kerala,Baroda,Baroda won by 6 wickets,Mumbai
2014-04-14,Gujarat,Punjab,Gujarat,Gujarat won by 5 wickets,Mumbai
2014-04-15,Uttar Pradesh,Baroda,Uttar Pradesh,Uttar Pradesh won by 3 runs,Mumbai
2015-03-25,Bengal,Tripura,Bengal,Bengal won by 7 wickets,Kolkata
2015-03-25,Jharkhand,Odisha,Jharkhand,Jharkhand won by 2 runs,Kolkata
2015-03-26,Assam,Tripura,Assam,Assam won by 6 wickets,Kolkata
2015-03-26,Bengal,Odisha,Bengal,Bengal won by 5 wickets,Kolkata
2015-03-27,Assam,Odisha,Odisha,Odisha won by 4 wickets,Kolkata
2015-03-27,Jharkhand,Tripura,Jharkhand,Jharkhand won by 8 wickets,Kolkata
2015-03-28,Assam,Bengal,Bengal,Bengal won by 7 wickets,Kolkata
2015-03-28,Jharkhand,Odisha,Jharkhand,Jharkhand won by 6 wickets,Kolkata
2015-03-29,Bengal,Tripura,Bengal,Bengal won by 9 wickets,Kolkata
2015-03-29,Assam,Jharkhand,Assam,Assam won by 5 wickets,Kolkata
2015-03-25,Delhi,Services,Delhi,Delhi won by 6 wickets,Delhi
2015-03-25,Haryana,Jammu & Kashmir,Haryana,Haryana won by 7 wickets,Delhi
2015-03-25,Himachal Pradesh,Punjab,Punjab,Punjab won by 8 wickets,Delhi
2015-03-26,Delhi,Jammu & Kashmir,Delhi,Delhi won by 9 wickets,Delhi
2015-03-26,Himachal Pradesh,Services,Himachal Pradesh,Himachal Pradesh won by 6 wickets,Delhi
2015-03-26,Haryana,Punjab,Punjab,Punjab won by 7 wickets,Delhi
2015-03-27,Haryana,Services,Haryana,Haryana won by 8 wickets,Delhi
2015-03-27,Jammu & Kashmir,Punjab,Punjab,Punjab won by 9 wickets,Delhi
2015-03-27,Delhi,Himachal Pradesh,Delhi,Delhi won by 7 wickets,Delhi
2015-03-29,Jammu & Kashmir,Services,Services,Services won by 6 wickets,Delhi
2015-03-29,Delhi,Punjab,Punjab,Punjab won by 8 wickets,Delhi
2015-03-29,Haryana,Himachal Pradesh,Haryana,Haryana won by 7 wickets,Delhi
2015-03-30,Himachal Pradesh,Jammu & Kashmir,Himachal Pradesh,Himachal Pradesh won by 8 wickets,Delhi
2015-03-30,Punjab,Services,Punjab,Punjab won by 9 wickets,Delhi
2015-03-30,Delhi,Haryana,Delhi,Delhi won by 7 wickets,Delhi
2015-03-25,Andhra,Goa,Andhra,Andhra won by 6 wickets,Kochi
2015-03-25,Hyderabad,Karnataka,Karnataka,Karnataka won by 7 wickets,Kochi
2015-03-25,Kerala,Tamil Nadu,Kerala,Kerala won by 8 wickets,Kochi
2015-03-26,Andhra,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 6 wickets,Kochi
2015-03-26,Goa,Karnataka,Karnataka,Karnataka won by 8 wickets,Kochi
2015-03-26,Hyderabad,Kerala,Hyderabad,Hyderabad won by 7 wickets,Kochi
2015-03-27,Andhra,Karnataka,Karnataka,Karnataka won by 8 wickets,Kochi
2015-03-27,Goa,Kerala,Kerala,Kerala won by 9 wickets,Kochi
2015-03-27,Hyderabad,Tamil Nadu,Hyderabad,Hyderabad won by 7 wickets,Kochi
2015-03-29,Andhra,Hyderabad,Andhra,Andhra won by 6 wickets,Kochi
2015-03-29,Goa,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 8 wickets,Kochi
2015-03-29,Karnataka,Kerala,Karnataka,Karnataka won by 7 wickets,Kochi
2015-03-30,Andhra,Kerala,Kerala,Kerala won by 6 wickets,Kochi
2015-03-30,Goa,Hyderabad,Hyderabad,Hyderabad won by 8 wickets,Kochi
2015-03-30,Karnataka,Tamil Nadu,Karnataka,Karnataka won by 7 wickets,Kochi
2015-03-25,Baroda,Saurashtra,Baroda,Baroda won by 7 wickets,Pune
2015-03-25,Gujarat,Maharashtra,Gujarat,Gujarat won by 6 wickets,Pune
2015-03-26,Baroda,Gujarat,Baroda,Baroda won by 5 wickets,Pune
2015-03-26,Maharashtra,Saurashtra,Maharashtra,Maharashtra won by 7 wickets,Pune
2015-03-27,Baroda,Maharashtra,Baroda,Baroda won by 8 wickets,Pune
2015-03-27,Gujarat,Saurashtra,Gujarat,Gujarat won by 7 wickets,Pune
2015-03-25,Madhya Pradesh,Vidarbha,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Nagpur
2015-03-25,Railways,Rajasthan,Railways,Railways won by 7 wickets,Nagpur
2015-03-26,Madhya Pradesh,Railways,Madhya Pradesh,Madhya Pradesh won by 8 wickets,Nagpur
2015-03-26,Rajasthan,Vidarbha,Vidarbha,Vidarbha won by 6 wickets,Nagpur
2015-03-27,Madhya Pradesh,Rajasthan,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Nagpur
2015-03-27,Railways,Vidarbha,Railways,Railways won by 8 wickets,Nagpur
2015-04-01,Mumbai,Saurashtra,Mumbai,Mumbai won by 4 wickets,Bhubaneswar
2015-04-01,Odisha,Punjab,Punjab,Punjab won by 9 wickets,Bhubaneswar
2015-04-02,Mumbai,Odisha,Mumbai,Mumbai won by 23 runs,Bhubaneswar
2015-04-02,Punjab,Saurashtra,Punjab,Punjab won by 16 runs,Bhubaneswar
2015-04-03,Mumbai,Punjab,Punjab,Punjab won by 7 wickets,Bhubaneswar
2015-04-03,Odisha,Saurashtra,Odisha,Odisha won by 2 wickets,Bhubaneswar
2015-04-01,Gujarat,Vidarbha,Gujarat,Gujarat won by 7 wickets,Cuttack
2015-04-01,Hyderabad,Jharkhand,Hyderabad,Hyderabad won by 2 runs,Cuttack
2015-04-02,Gujarat,Hyderabad,Gujarat,Gujarat won by 4 runs,Cuttack
2015-04-02,Jharkhand,Vidarbha,Vidarbha,Vidarbha won by 6 wickets,Cuttack
2015-04-03,Gujarat,Jharkhand,Gujarat,Gujarat won by 8 wickets,Cuttack
2015-04-03,Hyderabad,Vidarbha,Vidarbha,Vidarbha won by 5 wickets,Cuttack
2015-04-05,Gujarat,Mumbai,Gujarat,Gujarat won by 6 wickets,Bhubaneswar
2015-04-05,Punjab,Vidarbha,Punjab,Punjab won by 7 wickets,Bhubaneswar
2015-04-06,Mumbai,Vidarbha,Vidarbha,Vidarbha won by 3 wickets,Bhubaneswar
2015-04-06,Gujarat,Punjab,Gujarat,Gujarat won by 5 wickets,Bhubaneswar
2015-04-07,Gujarat,Vidarbha,Gujarat,Gujarat won by 1 run,Bhubaneswar
2015-04-07,Mumbai,Punjab,Mumbai,Mumbai won by 2 runs,Bhubaneswar
2015-04-09,Baroda,Bengal,Baroda,Baroda won by 7 wickets,Dharamsala
2015-04-09,Delhi,Madhya Pradesh,Delhi,Delhi won by 6 wickets,Dharamsala
2015-04-10,Baroda,Delhi,Baroda,Baroda won by 5 wickets,Dharamsala
2015-04-10,Bengal,Madhya Pradesh,Bengal,Bengal won by 7 wickets,Dharamsala
2015-04-11,Baroda,Madhya Pradesh,Baroda,Baroda won by 8 wickets,Dharamsala
2015-04-11,Bengal,Delhi,Delhi,Delhi won by 7 wickets,Dharamsala
2015-04-12,Gujarat,Baroda,Gujarat,Gujarat won by 6 wickets,Bhubaneswar
2015-04-12,Punjab,Delhi,Punjab,Punjab won by 5 wickets,Bhubaneswar
2015-04-15,Gujarat,Punjab,Gujarat,Gujarat won by 2 wickets,Bhubaneswar
2016-01-02,Bengal,Hyderabad,Bengal,Bengal won by 3 runs,Nagpur
2016-01-02,Gujarat,Tamil Nadu,Gujarat,Gujarat won by 6 wickets,Nagpur
2016-01-03,Bengal,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 8 wickets,Nagpur
2016-01-03,Gujarat,Hyderabad,Gujarat,Gujarat won by 24 runs,Nagpur
2016-01-04,Bengal,Gujarat,Gujarat,Gujarat won by 8 wickets,Nagpur
2016-01-04,Hyderabad,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 10 runs,Nagpur
2016-01-02,Haryana,Karnataka,Karnataka,Karnataka won by 8 wickets,Cuttack
2016-01-02,Maharashtra,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh won by 7 wickets,Cuttack
2016-01-03,Karnataka,Maharashtra,Karnataka,Karnataka won by 4 wickets,Cuttack
2016-01-03,Haryana,Uttar Pradesh,Haryana,Haryana won by 5 wickets,Cuttack
2016-01-04,Haryana,Maharashtra,Maharashtra,Maharashtra won by 6 wickets,Cuttack
2016-01-04,Karnataka,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh won by 2 wickets,Cuttack
2016-01-02,Jammu & Kashmir,Tripura,Jammu & Kashmir,Jammu & Kashmir won by 8 wickets,Kochi
2016-01-02,Kerala,Services,Kerala,Kerala won by 6 wickets,Kochi
2016-01-03,Jammu & Kashmir,Services,Services,Services won by 7 wickets,Kochi
2016-01-03,Kerala,Tripura,Kerala,Kerala won by 6 wickets (VJD),Kochi
2016-01-04,Jammu & Kashmir,Kerala,Kerala,Kerala won by 5 runs,Kochi
2016-01-04,Services,Tripura,Services,Services won by 9 wickets,Kochi
2016-01-02,Madhya Pradesh,Railways,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Vadodara
2016-01-02,Goa,Saurashtra,Saurashtra,Saurashtra won by 8 wickets,Vadodara
2016-01-03,Goa,Railways,Goa,Goa won by 6 wickets,Vadodara
2016-01-03,Madhya Pradesh,Saurashtra,Saurashtra,Saurashtra won by 3 runs,Vadodara
2016-01-04,Goa,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh won by 10 wickets,Vadodara
2016-01-04,Railways,Saurashtra,Saurashtra,Saurashtra won by 9 wickets,Vadodara
2016-01-05,Bengal,Karnataka,Bengal,Bengal won by 2 runs,Nagpur
2016-01-05,Gujarat,Uttar Pradesh,Gujarat,Gujarat won by 4 wickets,Nagpur
2016-01-06,Bengal,Uttar Pradesh,Bengal,Bengal won by 7 wickets,Nagpur
2016-01-06,Gujarat,Karnataka,Gujarat,Gujarat won by 5 wickets,Nagpur
2016-01-07,Bengal,Gujarat,Gujarat,Gujarat won by 7 wickets,Nagpur
2016-01-07,Karnataka,Uttar Pradesh,Karnataka,Karnataka won by 4 wickets,Nagpur
2016-01-05,Jammu & Kashmir,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Vadodara
2016-01-05,Kerala,Saurashtra,Kerala,Kerala won by 5 wickets,Vadodara
2016-01-06,Jammu & Kashmir,Saurashtra,Saurashtra,Saurashtra won by 58 runs,Vadodara
2016-01-06,Kerala,Madhya Pradesh,Kerala,Kerala won by 4 runs,Vadodara
2016-01-07,Jammu & Kashmir,Kerala,Kerala,Kerala won by 6 wickets,Vadodara
2016-01-07,Madhya Pradesh,Saurashtra,Saurashtra,Saurashtra won by 22 runs,Vadodara
2016-01-08,Baroda,Vidarbha,Vidarbha,Vidarbha won by 36 runs,Mumbai
2016-01-08,Mumbai,Rajasthan,Mumbai,Mumbai won by 34 runs,Mumbai
2016-01-09,Baroda,Mumbai,Mumbai,Mumbai won by 6 wickets,Mumbai
2016-01-09,Rajasthan,Vidarbha,Vidarbha,Vidarbha won by 4 runs,Mumbai
2016-01-10,Baroda,Rajasthan,Baroda,Baroda won by 1 run,Mumbai
2016-01-10,Mumbai,Vidarbha,Mumbai,Mumbai won by 2 runs,Mumbai
2016-01-08,Andhra,Delhi,Delhi,Delhi won by 8 wickets,Baroda
2016-01-08,Odisha,Railways,Odisha,Odisha won by 1 run,Baroda
2016-01-09,Andhra,Railways,Andhra,Andhra won by 6 wickets,Baroda
2016-01-09,Delhi,Odisha,Delhi,Delhi won by 4 wickets,Baroda
2016-01-10,Andhra,Odisha,Odisha,Odisha won by 5 wickets,Baroda
2016-01-10,Delhi,Railways,Delhi,Delhi won by 5 wickets,Baroda
2016-01-15,Baroda,Delhi,Delhi,Delhi won by 5 wickets,Mumbai
2016-01-15,Mumbai,Odisha,Mumbai,Mumbai won by 4 wickets,Mumbai
2016-01-16,Baroda,Odisha,Baroda,Baroda won by 9 runs,Mumbai
2016-01-16,Mumbai,Delhi,Mumbai,Mumbai won by 2 wickets,Mumbai
2016-01-17,Baroda,Mumbai,Mumbai,Mumbai won by 6 wickets,Mumbai
2016-01-17,Delhi,Odisha,Delhi,Delhi won by 9 wickets,Mumbai
2016-01-15,Vidarbha,Andhra,Vidarbha,Vidarbha won by 8 wickets,Mumbai
2016-01-15,Rajasthan,Railways,Rajasthan,Rajasthan won by 22 runs,Mumbai
2016-01-16,Vidarbha,Railways,Vidarbha,Vidarbha won by 9 wickets,Mumbai
2016-01-16,Rajasthan,Andhra,Rajasthan,Rajasthan won by 2 runs,Mumbai
2016-01-17,Vidarbha,Rajasthan,Vidarbha,Vidarbha won by 8 wickets,Mumbai
2016-01-17,Railways,Andhra,Andhra,Andhra won by 29 runs,Mumbai
2016-01-18,Jharkhand,Mumbai,Jharkhand,Jharkhand won by 6 wickets,Nagpur
2016-01-18,Vidarbha,Gujarat,Vidarbha,Vidarbha won by 2 runs,Nagpur
2016-01-19,Jharkhand,Gujarat,Gujarat,Gujarat won by 6 wickets,Nagpur
2016-01-19,Vidarbha,Mumbai,Mumbai,Mumbai won by 41 runs,Nagpur
2016-01-20,Jharkhand,Vidarbha,Vidarbha,Vidarbha won by 8 wickets,Nagpur
2016-01-20,Mumbai,Gujarat,Mumbai,Mumbai won by 96 runs,Nagpur
2016-01-18,Delhi,Kerala,Kerala,Kerala won by 2 runs,Cuttack
2016-01-18,Uttar Pradesh,Baroda,Uttar Pradesh,Uttar Pradesh won by 30 runs,Cuttack
2016-01-19,Delhi,Uttar Pradesh,Delhi,Delhi won by 9 runs,Cuttack
2016-01-19,Kerala,Baroda,Kerala,Kerala won by 18 runs,Cuttack
2016-01-20,Delhi,Baroda,Delhi,Delhi won by 7 wickets,Cuttack
2016-01-20,Kerala,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh won by 15 runs,Cuttack
2016-01-22,Baroda,Vidarbha,Vidarbha,Vidarbha won by 7 wickets,Mumbai
2016-01-22,Mumbai,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh won by 6 wickets,Mumbai
2016-01-24,Jharkhand,Delhi,Jharkhand,Jharkhand won by 3 runs,Raipur
2016-01-24,Kerala,Bengal,Kerala,Kerala won by 4 runs,Raipur
2016-01-25,Jharkhand,Kerala,Jharkhand,Jharkhand won by 5 wickets,Raipur
2016-01-25,Delhi,Bengal,Delhi,Delhi won by 24 runs,Raipur
2016-01-26,Jharkhand,Bengal,Bengal,Bengal won by 2 runs,Raipur
2016-01-26,Delhi,Kerala,Kerala,Kerala won by 2 runs,Raipur
2016-01-28,Vidarbha,Jharkhand,Vidarbha,Vidarbha won by 9 wickets,Pune
2016-01-28,Mumbai,Bengal,Mumbai,Mumbai won by 10 runs,Pune
2016-01-29,Vidarbha,Bengal,Vidarbha,Vidarbha won by 8 wickets,Pune
2016-01-29,Mumbai,Jharkhand,Mumbai,Mumbai won by 5 wickets,Pune
2016-01-30,Vidarbha,Mumbai,Mumbai,Mumbai won by 6 wickets,Pune
2016-01-30,Bengal,Jharkhand,Jharkhand,Jharkhand won by 2 runs,Pune
2016-01-31,Uttar Pradesh,Gujarat,Uttar Pradesh,Uttar Pradesh won by 7 wickets,Mumbai
2016-02-01,Mumbai,Vidarbha,Mumbai,Mumbai won by 1 run,Mumbai
2017-01-29,Baroda,Maharashtra,Baroda,Baroda won by 4 wickets,Vadodara
2017-01-29,Gujarat,Mumbai,Mumbai,Mumbai won by 5 wickets,Vadodara
2017-01-30,Baroda,Mumbai,Baroda,Baroda won by 13 runs,Vadodara
2017-01-30,Gujarat,Saurashtra,Gujarat,Gujarat won by 7 wickets,Vadodara
2017-01-31,Maharashtra,Saurashtra,Maharashtra,Maharashtra won by 6 wickets,Vadodara
2017-01-31,Baroda,Gujarat,Baroda,Baroda won by 7 wickets,Vadodara
2017-02-01,Mumbai,Saurashtra,Mumbai,Mumbai won by 5 wickets,Vadodara
2017-02-01,Gujarat,Maharashtra,Gujarat,Gujarat won by 5 wickets,Vadodara
2017-02-02,Baroda,Saurashtra,Baroda,Baroda won by 8 wickets,Vadodara
2017-02-02,Mumbai,Maharashtra,Mumbai,Mumbai won by 4 wickets,Vadodara
2017-01-29,Assam,Tripura,Assam,Assam won by 7 wickets,Kolkata
2017-01-29,Bengal,Jharkhand,Bengal,Bengal won by 7 wickets,Kolkata
2017-01-30,Assam,Odisha,Assam,Assam won by 4 wickets,Kolkata
2017-01-30,Jharkhand,Tripura,Jharkhand,Jharkhand won by 9 wickets,Kolkata
2017-01-31,Bengal,Tripura,Bengal,Bengal won by 8 wickets,Kolkata
2017-01-31,Jharkhand,Odisha,Jharkhand,Jharkhand won by 2 wickets,Kolkata
2017-02-01,Assam,Bengal,Bengal,Bengal won by 8 wickets,Kolkata
2017-02-01,Odisha,Tripura,Odisha,Odisha won by 6 wickets,Kolkata
2017-02-02,Bengal,Odisha,Bengal,Bengal won by 7 wickets,Kolkata
2017-02-02,Assam,Jharkhand,Jharkhand,Jharkhand won by 15 runs,Kolkata
2017-01-29,Andhra,Goa,Andhra,Andhra won by 6 wickets,Chennai
2017-01-29,Hyderabad,Kerala,Hyderabad,Hyderabad won by 2 runs,Chennai
2017-01-29,Karnataka,Tamil Nadu,Karnataka,Karnataka won by 7 wickets,Chennai
2017-01-30,Andhra,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 9 wickets,Chennai
2017-01-30,Goa,Karnataka,Karnataka,Karnataka won by 8 wickets,Chennai
2017-01-30,Hyderabad,Kerala,Kerala,Kerala won by 6 wickets,Chennai
2017-01-31,Andhra,Karnataka,Karnataka,Karnataka won by 9 wickets,Chennai
2017-01-31,Goa,Kerala,Kerala,Kerala won by 7 wickets,Chennai
2017-01-31,Hyderabad,Tamil Nadu,Hyderabad,Hyderabad won by 5 wickets,Chennai
2017-02-01,Andhra,Hyderabad,Andhra,Andhra won by 6 wickets,Chennai
2017-02-01,Goa,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 8 wickets,Chennai
2017-02-01,Karnataka,Kerala,Karnataka,Karnataka won by 9 runs,Chennai
2017-02-02,Andhra,Kerala,Kerala,Kerala won by 6 wickets,Chennai
2017-02-02,Goa,Hyderabad,Hyderabad,Hyderabad won by 7 wickets,Chennai
2017-02-02,Karnataka,Tamil Nadu,Karnataka,Karnataka won by 6 wickets,Chennai
2017-01-29,Madhya Pradesh,Rajasthan,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Jaipur
2017-01-29,Railways,Vidarbha,Railways,Railways won by 5 wickets,Jaipur
2017-01-30,Madhya Pradesh,Vidarbha,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Jaipur
2017-01-30,Railways,Rajasthan,Rajasthan,Rajasthan won by 6 wickets,Jaipur
2017-01-31,Madhya Pradesh,Railways,Madhya Pradesh,Madhya Pradesh won by 8 wickets,Jaipur
2017-01-31,Rajasthan,Vidarbha,Rajasthan,Rajasthan won by 7 wickets,Jaipur
2017-01-29,Delhi,Punjab,Punjab,Punjab won by 3 wickets,Dharamsala
2017-01-29,Haryana,Services,Haryana,Haryana won by 6 wickets,Dharamsala
2017-01-29,Himachal Pradesh,Jammu & Kashmir,Himachal Pradesh,Himachal Pradesh won by 5 wickets,Dharamsala
2017-01-30,Delhi,Jammu & Kashmir,Delhi,Delhi won by 4 wickets,Dharamsala
2017-01-30,Haryana,Himachal Pradesh,Haryana,Haryana won by 5 wickets,Dharamsala
2017-01-30,Punjab,Services,Punjab,Punjab won by 6 wickets,Dharamsala
2017-01-31,Delhi,Services,Delhi,Delhi won by 7 wickets,Dharamsala
2017-01-31,Haryana,Jammu & Kashmir,Haryana,Haryana won by 4 wickets,Dharamsala
2017-01-31,Himachal Pradesh,Punjab,Punjab,Punjab won by 8 wickets,Dharamsala
2017-02-01,Delhi,Haryana,Delhi,Delhi won by 10 wickets,Dharamsala
2017-02-01,Himachal Pradesh,Services,Himachal Pradesh,Himachal Pradesh  won by 7 wickets,Dharamsala
2017-02-01,Jammu & Kashmir,Punjab,Punjab,Punjab won by 6 wickets,Dharamsala
2017-02-02,Delhi,Himachal Pradesh,Delhi,Delhi won by 9 wickets,Dharamsala
2017-02-02,Haryana,Punjab,Punjab,Punjab won by 5 wickets,Dharamsala
2017-02-02,Jammu & Kashmir,Services,Jammu & Kashmir,Jammu & Kashmir won by 6 wickets,Dharamsala
2017-02-06,Bengal,Mumbai,Mumbai,Mumbai won by 6 wickets,Jaipur
2017-02-06,Baroda,Punjab,Punjab,Punjab won by 7 wickets,Jaipur
2017-02-06,Tamil Nadu,Gujarat,Tamil Nadu,Tamil Nadu won by 5 wickets,Jaipur
2017-02-06,Jharkhand,Karnataka,Karnataka,Karnataka won by 5 wickets,Jaipur
2017-02-12,Mumbai,Punjab,Punjab,Punjab won by 4 wickets,Nagpur
2017-02-12,Jharkhand,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 6 wickets,Nagpur
2017-02-13,Baroda,Bengal,Bengal,Bengal won by 7 wickets,Nagpur
2017-02-13,Gujarat,Karnataka,Karnataka,Karnataka won by 6 wickets,Nagpur
2017-02-15,Punjab,Tamil Nadu,Punjab,Punjab won by 4 runs,Mumbai
2017-02-15,Mumbai,Karnataka,Mumbai,Mumbai won by 2 wickets,Mumbai
2017-02-16,Bengal,Jharkhand,Bengal,Bengal won by 6 wickets,Mumbai
2017-02-16,Baroda,Gujarat,Baroda,Baroda won by 7 wickets,Mumbai
2017-02-18,Bengal,Baroda,Bengal,Bengal won by 7 wickets,Mumbai
2017-02-18,Punjab,Mumbai,Punjab,Punjab won by 4 wickets,Mumbai
2018-01-08,Goa,Vidarbha,Vidarbha,Vidarbha won by 8 wickets,Indore
2018-01-08,Madhya Pradesh,Rajasthan,Rajasthan,Rajasthan won by 10 runs,Indore
2018-01-08,Saurashtra,Services,Saurashtra,Saurashtra won by 6 wickets,Indore
2018-01-09,Goa,Madhya Pradesh,Goa,Goa won by 5 wickets,Indore
2018-01-09,Rajasthan,Services,Rajasthan,Rajasthan won by 6 wickets,Indore
2018-01-09,Saurashtra,Vidarbha,Saurashtra,Saurashtra won by 6 wickets,Indore
2018-01-10,Goa,Rajasthan,Rajasthan,Rajasthan won by 8 wickets,Indore
2018-01-10,Saurashtra,Madhya Pradesh,Saurashtra,Saurashtra won by 6 wickets,Indore
2018-01-10,Vidarbha,Services,Vidarbha,Vidarbha won by 7 wickets,Indore
2018-01-12,Goa,Saurashtra,Saurashtra,Saurashtra won by 8 wickets,Indore
2018-01-12,Vidarbha,Madhya Pradesh,Vidarbha,Vidarbha won by 6 wickets,Indore
2018-01-12,Rajasthan,Services,Rajasthan,Rajasthan won by 7 wickets,Indore
2018-01-13,Goa,Services,Goa,Goa won by 5 wickets,Indore
2018-01-13,Vidarbha,Rajasthan,Rajasthan,Rajasthan won by 6 wickets,Indore
2018-01-13,Saurashtra,Madhya Pradesh,Saurashtra,Saurashtra won by 7 wickets,Indore
2018-01-08,Bengal,Tripura,Bengal,Bengal won by 9 wickets,Ranchi
2018-01-08,Jharkhand,Tamil Nadu,Jharkhand,Jharkhand won by 2 wickets,Ranchi
2018-01-09,Assam,Tripura,Assam,Assam won by 8 wickets,Ranchi
2018-01-09,Bengal,Tamil Nadu,Bengal,Bengal won by 7 wickets,Ranchi
2018-01-10,Assam,Jharkhand,Jharkhand,Jharkhand won by 8 wickets,Ranchi
2018-01-10,Tamil Nadu,Tripura,Tamil Nadu,Tamil Nadu won by 6 wickets,Ranchi
2018-01-12,Assam,Bengal,Bengal,Bengal won by 8 wickets,Ranchi
2018-01-12,Jharkhand,Tripura,Jharkhand,Jharkhand won by 7 wickets,Ranchi
2018-01-13,Assam,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 6 wickets,Ranchi
